relone_date,gov_date,type,feature,description
2020/08/15,,Enhancement,Integration Points,"This is an improvement for fields mapping while creating an ECA Integration Point for exporting data between workspaces. When clicking on ""Map All Fields,"" the fields will be validated and the ones that might fail a job are excluded from auto-mapping. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Integration Points,The Fixed-Length Text type fields will have the number of characters reflected in the brackets when mapping the fields in Integration Point for better visibility if the maximum length matches between source and destination workspaces. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Integration Points,Integration Points Scheduled jobs for promoting data between workspaces (natives push) will be handled via new enhanced path that improves stability and availability of ECA flow. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Integration Points,New baselines and recommendations for promoting data between workspaces are available on RelativityOne help page: https://help.relativity.com/RelativityOne/Content/Relativity/ECA_and_Investigation/Promoting_data_with_Integration_Points.htm#Performance_baselines (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Active Learning,Active Learning is fully functional with Relativity Review (Aero Viewer). (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Clustering,Clustering now shows up to ten titles per cluster for all newly built or rebuilt clusters. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Clustering,Cluster labels are displayed in a radial orientation in the dial cluster visualization. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Structured Analytics,Email thread visualization is now fully functional within Relativity Review (Aero Viewer). This includes updated styling and easier switching between analytics sets. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Structured Analytics,"Clicking on an email in the Email Threading Display field from the document list page now opens that document in the Document Preview panel, rather than a new pop-up window. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Developer Platform,"The Custom Page object is no longer available for linking to Relativity Applications in Workspaces. The Custom Page tab will no longer be available at the workspace level. Users can continue to link new Custom Pages to an application from the Custom Pages tab, which is now available at an instance level. (Lanceleaf RelativityOne)"
2020/08/15,,Enhancement,Developer Platform,The Agent object is no longer available for linking to Relativity applications in Workspaces. Users can continue to link new agents to an application from the Resource Files tab. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Developer Platform,"Resource Files, that are added to an application with Custom Pages, since the last time the application was ""Pushed to Library"" will be deleted on the upgrade to Lanceleaf. To prevent the Resource Files from being deleted and to persist with this resource file when the application is exported, the application needs to be pushed to library from a workspace it is installed in. (Lanceleaf RelativityOne)"
2020/08/15,,Resolved defect,Legal Hold,Employee employment end dates imported via Relativity Integration Points now display properly on the Employee Change Report. (Lanceleaf RelativityOne)
2020/08/15,,Resolved defect,Collect,When selecting more than 10 custodians for a Collect job the list will no longer be truncated to the first 10 custodians on Step 4 (Summary Step) of the Collect wizard. The maximum number of custodians that can be assigned to a Collect job is now 500. (Lanceleaf RelativityOne)
2020/08/15,,Enhancement,Tab Sync,Allow users to copy the tab structure of a Source workspace to multiple destination workspaces in one step. (Lanceleaf RelativityOne)
2020/07/30,,Enhancement,Post-Publish Delete,"When you delete a document that has been published into Review, Processing will re-calculate deduplication to identify and publish the duplicate if there is one, and will not include the deleted document in subsequent deduplication logic. (Mayapple Early Access Update)"
2020/07/30,,Resolved defect,Processing Set,"When a Processing Set has completed Inventory, but has not yet started Discovery, you are unable to create new Data Sources. To work around, you must delete the Processing Set and create a new one. (Mayapple Early Access Update)"
2020/07/29,,Enhancement,Errors,"The error messages that can occur on documents within the Discovery and Publish phases of Processing have been rewritten in an understandable, user-centric format. (Mayapple Early Access)"
2020/07/29,,Resolved defect,Errors,We improved performance on Processing error creation by approximately 50% and reduced the likelihood of jobs getting stuck on completion. (Mayapple Early Access)
2020/07/29,,Enhancement,Integration Points,Integration Points Retried jobs for promoting data between workspaces (natives push) will be handled via new enhanced path which will reflect in improved stability and availability of ECA flow. (Mayapple Early Access)
2020/07/29,,Resolved defect,Integration Points,"Effective Mayapple the ""preview option"" will not be available for document, image and production load file import via Integration Points. (Mayapple Early Access)"
2020/06/10,,Enhancement,Processing,"Auto-scaling now kicks off when a Processing Set is created in a workspace. This allows Processing Sets to have scaled out workers by the time it is submitted, rather when while its already running. (Lanceleaf Early Access)"
2020/06/10,,Enhancement,Review Interface,"The new Relativity Review Interface is available. This can be enabled at an environment-level using the UseRelativityReviewInterface instance setting and enabled at the user-level using the Document Viewer user setting. Selecting ""Relativity Review"" or ""Default"" will enable the new Review Interface for users. (Lanceleaf Early Access)"
2020/06/10,,Enhancement,Review Interface,"In the new Relativity Review Interface, several Document oriented actions have moved to the Document actions drop-down menu. This is located in the top-center of the header as part of the displayed Document Identifier. Available actions includes sharing the Document link, imaging the Document, and deleting images from the document. (Lanceleaf Early Access)"
